Bee_ID,Diapause_NonDiapause,Sex,Date_emerged,Date_dead,Date_frozen,Thorax_length_mm,Notes,use_lifespan,old_cage_design,,,,
MR077,D,F,8/14/23,9/22/23,9/22/23,2.43,,Y,N,,,,
MR078,D,F,8/14/23,10/7/23,10/7/23,2.69,,Y,N,,,,
MR079,D,F,8/14/23,10/6/23,10/6/23,2.46,,Y,N,,,,
MR080,D,F,8/14/23,10/8/23,10/8/23,2.68,,Y,N,,,,
MR081,D,F,8/14/23,9/26/23,9/26/23,2.69,,Y,N,,,,
MR082,D,F,8/14/23,10/7/23,10/7/23,2.49,,Y,N,,,,
MR083,D,M,8/14/23,9/2/23,NA,2.30,,Y,N,,,,
MR084,D,F,8/14/23,9/21/23,9/21/23,2.69,,Y,N,,,,
MR085,D,F,8/14/23,9/25/23,9/25/23,2.76,,Y,N,,,,
MR086,D,M,8/14/23,10/24/23,10/24/23,2.22,,Y,N,,,,
MR087,D,F,8/14/23,9/18/23,9/18/23,2.42,,Y,N,,,,
MR088,D,F,8/14/23,9/30/23,10/2/23,2.37,,Y,N,,,,
MR089,D,F,8/14/23,9/11/23,9/11/23,2.57,,Y,N,,,,
MR090,D,M,8/14/23,10/7/23,10/7/23,2.38,,Y,N,,,,
MR091,D,M,8/14/23,10/10/23,10/10/23,2.52,,Y,N,,,,
MR092,ND,F,8/14/23,9/30/23,10/2/23,2.39,,Y,N,,,,
MR093,ND,F,8/14/23,9/30/23,10/2/23,2.44,,Y,N,,,,
MR094,ND,F,8/14/23,9/30/23,10/2/23,2.49,,Y,N,,,,
MR095,ND,F,8/14/23,8/17/23,NA,1.82,,Y,N,,,,
MR096,ND,F,8/14/23,9/30/23,10/2/23,2.35,,Y,N,,,,
MR097,ND,F,8/14/23,8/28/23,8/28/23,2.45,,Y,N,,,,
MR098,ND,F,8/14/23,10/7/23,10/7/23,2.37,,Y,N,,,,
MR099,ND,F,8/14/23,10/11/23,10/11/23,2.23,,Y,N,,,,
MR100,ND,F,8/14/23,8/16/23,NA,2.18,,Y,N,,,,
MR101,ND,F,8/14/23,10/5/23,10/5/23,2.50,,Y,N,,,,
MR102,ND,F,8/14/23,10/6/23,10/6/23,2.24,,Y,N,,,,
MR103,ND,M,8/15/23,8/17/23,NA,1.96,,Y,N,,,,
MR104,ND,M,8/15/23,10/10/23,10/10/23,1.89,,Y,N,,,,
MR105,ND,M,8/15/23,10/9/23,10/9/23,2.12,,Y,N,,,,
MR106,ND,M,8/15/23,8/17/23,NA,2.15,,Y,N,,,,
MR107,ND,M,8/15/23,8/17/23,NA,1.77,,Y,N,,,,
MR108,ND,M,8/15/23,10/17/23,10/17/23,1.84,,Y,N,,,,
MR109,ND,M,8/15/23,8/21/23,8/21/23,1.75,,Y,N,,,,
MR110,ND,M,8/15/23,10/19/23,10/19/23,2.03,,Y,N,,,,
MR111,ND,M,8/15/23,10/15/23,10/16/23,1.94,,Y,N,,,,
MR112,ND,M,8/15/23,9/30/23,10/2/23,2.41,,Y,N,,,,
MR113,D,F,8/16/23,9/28/23,9/29/23,2.65,,Y,N,,,,
MR114,D,F,8/16/23,9/28/23,9/29/23,2.60,,Y,N,,,,
MR115,D,F,8/16/23,9/30/23,10/2/23,2.81,,Y,N,,,,
MR116,D,F,8/16/23,10/8/23,10/8/23,2.57,,Y,N,,,,
MR117,ND,F,8/16/23,10/10/23,10/10/23,2.77,,Y,N,,,,
MR118,ND,F,8/16/23,10/12/23,10/12/23,2.73,,Y,N,,,,
MR119,ND,F,8/16/23,8/18/23,8/18/23,2.21,,Y,N,,,,
MR120,ND,F,8/16/23,10/13/23,10/13/23,2.32,,Y,N,,,,
MR121,ND,F,8/16/23,10/12/23,10/12/23,2.53,,Y,N,,,,
MR122,ND,F,8/16/23,9/23/23,9/25/23,2.37,,Y,N,,,,
